지역,연도,배출원,PM10,PM2.5
광주광역시,2013,기타 면오염원,6923,6230
광주광역시,2014,에너지산업 연소,2765,2765
광주광역시,2014,비산업 연소,34283,24439
광주광역시,2014,제조업 연소,1230,1027
광주광역시,2014,생산공정,600,523
광주광역시,2014,도로이동오염원,156369,143859
광주광역시,2014,비도로이동오염원,149272,137330
광주광역시,2014,폐기물처리,2908,2468
광주광역시,2014,기타 면오염원,6217,5595
광주광역시,2015,에너지산업 연소,2333,2333
광주광역시,2015,비산업 연소,26509,17700
광주광역시,2015,제조업 연소,2425,1858
광주광역시,2015,생산공정,1281,1141
광주광역시,2015,도로이동오염원,143597,132109
광주광역시,2015,비도로이동오염원,115614,106365
광주광역시,2015,폐기물처리,2807,2388
광주광역시,2015,기타 면오염원,6177,5559
광주광역시,2015,비산먼지,1485080,237332
광주광역시,2015,생물성 연소,86101,69542
광주광역시,2016,에너지산업 연소,2484,2484
광주광역시,2016,비산업 연소,24834,17181
광주광역시,2016,제조업 연소,2573,2094
광주광역시,2016,생산공정,1133,1009
광주광역시,2016,도로이동오염원,149980,137981
광주광역시,2016,비도로이동오염원,142425,131031
광주광역시,2016,폐기물처리,2340,2001
광주광역시,2016,기타 면오염원,5835,5251
광주광역시,2016,비산먼지,1537842,248743
광주광역시,2016,생물성 연소,85681,68866
광주광역시,2017,에너지산업 연소,2701,2701
광주광역시,2017,비산업 연소,23996,17163
광주광역시,2017,제조업 연소,2428,2231
광주광역시,2017,생산공정,831,742
광주광역시,2017,도로이동오염원,147341,135554
광주광역시,2017,비도로이동오염원,161599,148671
광주광역시,2017,폐기물처리,1475,1328
광주광역시,2017,기타 면오염원,5674,5107
광주광역시,2017,비산먼지,1627788,265782
광주광역시,2017,생물성 연소,80582,65430
광주광역시,2018,에너지산업 연소,2722,2722
광주광역시,2018,비산업 연소,22653,16704
광주광역시,2018,제조업 연소,2391,2327
광주광역시,2018,생산공정,20,12
광주광역시,2018,도로이동오염원,135630,124780
광주광역시,2018,비도로이동오염원,98456,90580
광주광역시,2018,폐기물처리,1527,1375
광주광역시,2018,기타 면오염원,5301,4770
광주광역시,2018,비산먼지,1367678,243559
광주광역시,2018,생물성 연소,73624,59456
광주광역시,2019,에너지산업 연소,2678,2678
광주광역시,2019,비산업 연소,19107,15675
광주광역시,2019,제조업 연소,2356,2280
광주광역시,2019,생산공정,114,94
광주광역시,2019,도로이동오염원,96561,88836
광주광역시,2019,비도로이동오염원,165203,151987
광주광역시,2019,폐기물처리,1959,1763
광주광역시,2019,기타 면오염원,5155,4639
광주광역시,2019,비산먼지,1656312,273013
광주광역시,2019,생물성 연소,76780,62794
대전광역시,2011,에너지산업 연소,3653,1653
대전광역시,2011,비산업 연소,75256,42034
대전광역시,2011,제조업 연소,1260,849
대전광역시,2011,생산공정,612,507
대전광역시,2011,도로이동오염원,280506,258065
대전광역시,2011,비도로이동오염원,220374,202881
대전광역시,2011,폐기물처리,4366,3529
대전광역시,2011,기타 면오염원,8296,7467
