,시군구,PM10,PM25
192,청주시,47.009811440272074,27.551844263873235
193,춘천시,43.526385133396964,22.497030850903663
194,충주시,42.65653496404207,23.598440313697903
195,칠곡군,36.63747899343676,21.041948050860157
196,태백시,29.99544608657942,16.542915117654626
197,태안군,39.282190729657366,18.906862940654143
198,통영시,34.58159883812365,16.08518525788391
199,파주시,46.87272621431741,25.99522417565908
200,평창군,38.425159179983076,20.753040305479594
201,평택시,50.89541557531338,27.362178076620836
202,포천시,41.736288280774524,22.98372485163941
203,포항시,38.178281650153316,19.85199411134979
204,하남시,45.65095129704763,20.599575204633652
205,하동군,38.67480852526064,19.90631267043946
206,함안군,32.888099662353994,17.446355227539193
207,함양군,30.779970385111522,16.477764778708593
208,함평군,34.131691210300566,19.1237571742416
209,합천군,27.073642190107083,14.982781706683754
210,해남군,32.73274415362557,17.377566024599908
211,해남읍,27.407812119333737,16.285146502685794
212,해운대구,35.808299950009214,21.182296142916456
213,홍성군,39.22898153905737,23.504682622643553
214,홍천군,36.54246046028592,20.001810835230863
215,화성시,45.63841745158342,24.591288789384055
216,화순군,27.57480446440509,13.901338772179699
217,화천군,30.781531535594656,16.06896296193988
218,횡성군,34.82252163617369,20.813144871789877
